PB.2854.1|scaffold_2:15469559-15471851(+)|c/131989/f1p99
PB.5938.1|scaffold_3:18777560-18778233(+)|c/128680/f1p99
PB.6987.1|scaffold_4:1370795-1371709(-)|c/3643/f1p99
PB.7212.1|scaffold_4:5058381-5059060(-)|c/53500/f1p99
PB.10562.1|scaffold_5:42279429-42280109(+)|c/77397/f1p99
PB.12266.2|scaffold_7:4203-5889(+)|c/86016/f1p99
PB.12267.12|scaffold_7:63888-95820(+)|c/130846/f1p99
PB.12267.13|scaffold_7:71609-95811(+)|c/133459/f1p99
PB.12267.16|scaffold_7:73839-74386(+)|c/132153/f1p99
PB.12267.17|scaffold_7:78465-80282(+)|c/43606/f1p99
PB.12267.23|scaffold_7:113045-120321(+)|c/12868/f1p99
PB.12267.24|scaffold_7:113092-120321(+)|c/33773/f1p99
PB.12267.33|scaffold_7:125482-127165(+)|c/60932/f1p99
PB.12267.34|scaffold_7:143927-160319(+)|c/53252/f1p99
PB.12267.35|scaffold_7:145330-153934(+)|c/55804/f1p99
PB.12267.36|scaffold_7:148859-150685(+)|c/107384/f1p99
PB.12682.1|scaffold_7:19876166-19876884(+)|c/61194/f1p99
PB.15617.4|scaffold_9:6762408-6765224(-)|c/103838/f1p99
PB.15617.2|scaffold_9:6762401-6765227(-)|c/59605/f1p99
PB.16818.1|scaffold_9:40155311-40155899(+)|c/57931/f1p99
PB.18228.1|scaffold_9:58596025-58597915(-)|c/77511/f1p99
